Product code,Station number,Year,Month,Monthly Precipitation Total (millimetres),Quality
IDCJAC0001,097085,1997,01,207.0,N
IDCJAC0001,097085,1997,03,237.2,N
IDCJAC0001,097085,1997,04,495.4,N
IDCJAC0001,097085,1997,05,351.6,N
IDCJAC0001,097085,1997,06,276.2,N
IDCJAC0001,097085,1997,07,341.4,N
IDCJAC0001,097085,1997,09,131.8,N
IDCJAC0001,097085,1997,12,262.0,N
IDCJAC0001,097085,1998,01,110.0,N
IDCJAC0001,097085,1998,02,272.6,N
IDCJAC0001,097085,1998,03,311.8,N
IDCJAC0001,097085,1998,04,348.4,N
IDCJAC0001,097085,1998,05,433.6,N
IDCJAC0001,097085,1998,06,212.4,N
IDCJAC0001,097085,1998,07,348.6,N
IDCJAC0001,097085,1998,08,146.4,N
IDCJAC0001,097085,1998,09,294.8,N
IDCJAC0001,097085,1998,10,471.2,N
IDCJAC0001,097085,1998,11,202.8,N
IDCJAC0001,097085,1998,12,234.4,N
IDCJAC0001,097085,1999,01,70.0,N
IDCJAC0001,097085,1999,02,387.4,N
IDCJAC0001,097085,1999,03,313.0,N
IDCJAC0001,097085,1999,04,235.2,N
IDCJAC0001,097085,1999,05,445.6,N
IDCJAC0001,097085,1999,06,274.4,N
IDCJAC0001,097085,1999,07,347.4,N
IDCJAC0001,097085,1999,08,338.6,N
IDCJAC0001,097085,1999,09,288.2,N
IDCJAC0001,097085,1999,10,320.2,N
IDCJAC0001,097085,1999,11,190.4,N
IDCJAC0001,097085,2000,02,187.0,N
IDCJAC0001,097085,2000,03,212.8,N
IDCJAC0001,097085,2000,04,233.0,N
IDCJAC0001,097085,2000,05,720.8,N
IDCJAC0001,097085,2000,06,341.4,N
IDCJAC0001,097085,2000,07,300.6,N
IDCJAC0001,097085,2000,08,139.0,N
IDCJAC0001,097085,2000,09,393.2,N
IDCJAC0001,097085,2000,10,358.8,N
IDCJAC0001,097085,2000,11,78.4,N
IDCJAC0001,097085,2001,01,71.6,Y
IDCJAC0001,097085,2001,02,104.4,N
IDCJAC0001,097085,2001,03,280.4,N
IDCJAC0001,097085,2001,04,222.0,N
IDCJAC0001,097085,2001,05,152.6,N
IDCJAC0001,097085,2001,06,517.8,N
IDCJAC0001,097085,2001,07,219.4,N
IDCJAC0001,097085,2001,09,311.2,N
IDCJAC0001,097085,2001,10,379.4,N
IDCJAC0001,097085,2001,11,259.6,N
IDCJAC0001,097085,2001,12,252.0,N
