Product code,Station number,Year,Month,Monthly mean daily global solar exposure (MJ/m*m)
IDCJAC0003,097085,1990,01,21.4
IDCJAC0003,097085,1990,02,18.1
IDCJAC0003,097085,1990,03,15.5
IDCJAC0003,097085,1990,04,7.9
IDCJAC0003,097085,1990,05,4.3
IDCJAC0003,097085,1990,06,3.2
IDCJAC0003,097085,1990,07,4.3
IDCJAC0003,097085,1990,08,8.0
IDCJAC0003,097085,1990,09,11.1
IDCJAC0003,097085,1990,10,15.9
IDCJAC0003,097085,1990,11,18.4
IDCJAC0003,097085,1990,12,16.4
IDCJAC0003,097085,1991,01,17.7
IDCJAC0003,097085,1991,02,19.6
IDCJAC0003,097085,1991,03,14.3
IDCJAC0003,097085,1991,04,8.5
IDCJAC0003,097085,1991,05,5.9
IDCJAC0003,097085,1991,06,3.4
IDCJAC0003,097085,1991,07,4.2
IDCJAC0003,097085,1991,08,4.4
IDCJAC0003,097085,1991,09,10.0
IDCJAC0003,097085,1991,10,17.2
IDCJAC0003,097085,1991,11,17.4
IDCJAC0003,097085,1991,12,21.4
IDCJAC0003,097085,1992,01,18.1
IDCJAC0003,097085,1992,02,22.2
IDCJAC0003,097085,1992,03,13.7
IDCJAC0003,097085,1992,04,7.6
IDCJAC0003,097085,1992,05,5.3
IDCJAC0003,097085,1992,06,4.8
IDCJAC0003,097085,1992,07,3.2
IDCJAC0003,097085,1992,08,6.0
IDCJAC0003,097085,1992,09,11.9
IDCJAC0003,097085,1992,10,17.5
IDCJAC0003,097085,1992,11,18.6
IDCJAC0003,097085,1992,12,22.4
IDCJAC0003,097085,1993,01,21.5
IDCJAC0003,097085,1993,02,16.7
IDCJAC0003,097085,1993,03,13.7
IDCJAC0003,097085,1993,04,8.8
IDCJAC0003,097085,1993,05,5.1
IDCJAC0003,097085,1993,06,2.6
IDCJAC0003,097085,1993,07,4.1
IDCJAC0003,097085,1993,08,5.9
IDCJAC0003,097085,1993,09,12.3
IDCJAC0003,097085,1993,10,12.9
IDCJAC0003,097085,1993,11,16.8
IDCJAC0003,097085,1993,12,18.3
IDCJAC0003,097085,1994,01,18.8
IDCJAC0003,097085,1994,02,17.8
IDCJAC0003,097085,1994,03,14.1
IDCJAC0003,097085,1994,04,8.2
IDCJAC0003,097085,1994,05,3.9
IDCJAC0003,097085,1994,06,4.3
IDCJAC0003,097085,1994,07,5.0
IDCJAC0003,097085,1994,08,11.1
IDCJAC0003,097085,1994,09,9.6
IDCJAC0003,097085,1994,10,14.7
IDCJAC0003,097085,1994,11,15.4
IDCJAC0003,097085,1994,12,25.1
IDCJAC0003,097085,1995,01,20.4
IDCJAC0003,097085,1995,02,17.9
IDCJAC0003,097085,1995,03,11.6
IDCJAC0003,097085,1995,04,7.8
IDCJAC0003,097085,1995,05,5.5
IDCJAC0003,097085,1995,06,4.4
IDCJAC0003,097085,1995,07,4.1
IDCJAC0003,097085,1995,08,7.3
IDCJAC0003,097085,1995,09,11.5
IDCJAC0003,097085,1995,10,15.8
IDCJAC0003,097085,1995,11,17.0
IDCJAC0003,097085,1995,12,20.7
IDCJAC0003,097085,1996,01,23.3
IDCJAC0003,097085,1996,02,17.5
IDCJAC0003,097085,1996,03,12.3
IDCJAC0003,097085,1996,04,7.0
IDCJAC0003,097085,1996,05,4.6
IDCJAC0003,097085,1996,06,4.3
IDCJAC0003,097085,1996,07,4.5
IDCJAC0003,097085,1996,08,6.1
IDCJAC0003,097085,1996,09,10.3
IDCJAC0003,097085,1996,10,14.2
IDCJAC0003,097085,1996,11,19.3
IDCJAC0003,097085,1996,12,22.4
IDCJAC0003,097085,1997,01,22.6
IDCJAC0003,097085,1997,02,18.4
IDCJAC0003,097085,1997,03,12.3
IDCJAC0003,097085,1997,04,7.4
IDCJAC0003,097085,1997,05,5.2
IDCJAC0003,097085,1997,06,4.4
IDCJAC0003,097085,1997,07,3.6
IDCJAC0003,097085,1997,08,5.9
IDCJAC0003,097085,1997,09,13.1
IDCJAC0003,097085,1997,10,13.7
IDCJAC0003,097085,1997,11,18.3
IDCJAC0003,097085,1997,12,20.3
IDCJAC0003,097085,1998,01,23.0
IDCJAC0003,097085,1998,02,16.1
IDCJAC0003,097085,1998,03,13.4
IDCJAC0003,097085,1998,04,5.8
IDCJAC0003,097085,1998,05,5.6
IDCJAC0003,097085,1998,06,4.3
IDCJAC0003,097085,1998,07,4.8
IDCJAC0003,097085,1998,08,8.4
IDCJAC0003,097085,1998,09,9.6
IDCJAC0003,097085,1998,10,13.7
IDCJAC0003,097085,1998,11,20.5
IDCJAC0003,097085,1998,12,21.6
IDCJAC0003,097085,1999,01,24.3
IDCJAC0003,097085,1999,02,16.0
IDCJAC0003,097085,1999,03,13.0
IDCJAC0003,097085,1999,04,9.1
IDCJAC0003,097085,1999,05,3.9
IDCJAC0003,097085,1999,06,4.3
IDCJAC0003,097085,1999,07,4.8
IDCJAC0003,097085,1999,08,7.4
IDCJAC0003,097085,1999,09,11.2
IDCJAC0003,097085,1999,10,15.4
IDCJAC0003,097085,1999,11,20.5
IDCJAC0003,097085,1999,12,21.5
IDCJAC0003,097085,2000,01,21.4
IDCJAC0003,097085,2000,02,21.8
IDCJAC0003,097085,2000,03,14.1
IDCJAC0003,097085,2000,04,10.0
IDCJAC0003,097085,2000,05,4.4
IDCJAC0003,097085,2000,06,3.8
IDCJAC0003,097085,2000,07,5.2
IDCJAC0003,097085,2000,08,8.6
IDCJAC0003,097085,2000,09,9.2
IDCJAC0003,097085,2000,10,15.2
IDCJAC0003,097085,2000,11,24.0
IDCJAC0003,097085,2000,12,22.8
IDCJAC0003,097085,2001,01,21.4
