Product code,Bureau of Meteorology station number,Year,Month,Mean maximum temperature (°C),Quality
IDCJAC0002,097085,1996,09,4.1,Y
IDCJAC0002,097085,1996,10,6.7,Y
IDCJAC0002,097085,1996,11,7.4,Y
IDCJAC0002,097085,1996,12,9.5,Y
IDCJAC0002,097085,1997,01,15.7,Y
IDCJAC0002,097085,1997,02,11.8,Y
IDCJAC0002,097085,1997,03,10.0,Y
IDCJAC0002,097085,1997,04,8.3,Y
IDCJAC0002,097085,1997,05,5.6,Y
IDCJAC0002,097085,1997,06,5.5,Y
IDCJAC0002,097085,1997,07,2.7,Y
IDCJAC0002,097085,1997,08,2.5,Y
IDCJAC0002,097085,1997,09,6.1,Y
IDCJAC0002,097085,1997,10,10.6,Y
IDCJAC0002,097085,1997,12,10.7,Y
IDCJAC0002,097085,1998,01,14.9,Y
IDCJAC0002,097085,1998,02,12.4,Y
IDCJAC0002,097085,1998,03,11.6,Y
IDCJAC0002,097085,1998,04,6.8,Y
IDCJAC0002,097085,1998,05,6.1,Y
IDCJAC0002,097085,1998,06,3.8,Y
IDCJAC0002,097085,1998,07,2.9,Y
IDCJAC0002,097085,1998,08,4.5,Y
IDCJAC0002,097085,1998,09,5.9,Y
IDCJAC0002,097085,1998,10,4.9,Y
IDCJAC0002,097085,1998,11,10.4,Y
IDCJAC0002,097085,1998,12,12.6,Y
IDCJAC0002,097085,1999,01,15.8,Y
IDCJAC0002,097085,1999,02,14.3,Y
IDCJAC0002,097085,1999,03,11.2,Y
IDCJAC0002,097085,1999,04,7.7,Y
IDCJAC0002,097085,1999,05,7.2,Y
IDCJAC0002,097085,1999,06,4.9,Y
IDCJAC0002,097085,1999,07,5.2,Y
IDCJAC0002,097085,1999,08,5.8,Y
IDCJAC0002,097085,1999,09,7.3,Y
IDCJAC0002,097085,1999,10,8.8,Y
IDCJAC0002,097085,1999,11,9.7,Y
IDCJAC0002,097085,1999,12,13.3,Y
IDCJAC0002,097085,2000,01,16.7,Y
IDCJAC0002,097085,2000,02,17.6,Y
IDCJAC0002,097085,2000,03,12.9,Y
IDCJAC0002,097085,2000,04,9.6,Y
IDCJAC0002,097085,2000,05,6.0,Y
IDCJAC0002,097085,2000,06,4.7,Y
IDCJAC0002,097085,2000,07,4.0,Y
IDCJAC0002,097085,2000,08,4.5,Y
IDCJAC0002,097085,2000,09,4.9,Y
IDCJAC0002,097085,2000,10,7.3,Y
IDCJAC0002,097085,2000,11,13.8,Y
IDCJAC0002,097085,2000,12,12.4,Y
IDCJAC0002,097085,2001,01,15.2,Y
IDCJAC0002,097085,2001,02,16.4,Y
IDCJAC0002,097085,2001,03,12.6,Y
IDCJAC0002,097085,2001,04,8.7,Y
IDCJAC0002,097085,2001,05,6.5,Y
IDCJAC0002,097085,2001,06,5.4,Y
IDCJAC0002,097085,2001,07,5.0,Y
IDCJAC0002,097085,2001,08,4.2,Y
IDCJAC0002,097085,2001,09,7.5,Y
IDCJAC0002,097085,2001,10,6.9,Y
IDCJAC0002,097085,2001,11,9.2,Y
IDCJAC0002,097085,2001,12,8.9,Y
IDCJAC0002,097085,2002,01,12.9,Y
IDCJAC0002,097085,2002,02,12.7,Y
IDCJAC0002,097085,2002,03,11.4,Y
IDCJAC0002,097085,2002,04,11.0,Y
IDCJAC0002,097085,2002,05,7.3,Y
IDCJAC0002,097085,2002,06,4.3,Y
IDCJAC0002,097085,2002,07,3.9,Y
IDCJAC0002,097085,2002,08,3.5,Y
IDCJAC0002,097085,2002,09,5.0,Y
IDCJAC0002,097085,2002,10,6.7,Y
IDCJAC0002,097085,2002,11,10.6,Y
IDCJAC0002,097085,2002,12,12.3,Y
