date,d18oP
1/1/1958,-6.104122639
2/1/1958,-1.918849945
3/1/1958,-2.13261795
4/1/1958,-6.08744812
5/1/1958,-5.829146862
6/1/1958,-6.193226337
7/1/1958,-6.161756992
8/1/1958,-7.291702271
9/1/1958,-4.418133259
10/1/1958,-4.760391235
11/1/1958,-2.022260189
12/1/1958,-4.202548981
1/1/1959,1.605665445
2/1/1959,-2.412599325
3/1/1959,-6.783455372
4/1/1959,-5.106832027
5/1/1959,-2.441883087
6/1/1959,-3.113555193
7/1/1959,-4.697740078
8/1/1959,-4.675407887
9/1/1959,-2.622879982
10/1/1959,-2.977182388
11/1/1959,-2.775552988
12/1/1959,-6.38424921
1/1/1960,-2.43106246
2/1/1960,-6.362633705
3/1/1960,-0.527090192
4/1/1960,-6.118057728
5/1/1960,-5.636207104
6/1/1960,-8.813203812
7/1/1960,-7.513394833
8/1/1960,-5.936086655
9/1/1960,-5.373799324
10/1/1960,-1.97007513
11/1/1960,-3.227190256
12/1/1960,-0.842239559
1/1/1961,-2.007616043
2/1/1961,-1.928160548
3/1/1961,-5.96792984
4/1/1961,-3.019081354
5/1/1961,-6.577598572
6/1/1961,-4.98281908
7/1/1961,-9.309102058
8/1/1961,-2.777168036
9/1/1961,-3.458856821
10/1/1961,-3.25454402
11/1/1961,-4.421117783
12/1/1961,-6.054720879
1/1/1962,-1.649999976
2/1/1962,-2.973385811
3/1/1962,-5.7340312
4/1/1962,-5.375425339
5/1/1962,-6.277234554
6/1/1962,-4.588263512
7/1/1962,-4.021266937
8/1/1962,-4.462053776
9/1/1962,-3.168138504
10/1/1962,-3.016059875
11/1/1962,-1.974363089
12/1/1962,-5.030578613
1/1/1963,-1.143107772
2/1/1963,-3.853905201
3/1/1963,-6.69234848
4/1/1963,-3.418386698
5/1/1963,-7.223815918
6/1/1963,-8.740199089
7/1/1963,-4.927846432
8/1/1963,-5.999569416
9/1/1963,-3.377889872
10/1/1963,1.939540505
11/1/1963,-2.343513966
12/1/1963,-4.436124325
1/1/1964,-5.022840023
