,603,604,605,606,607,609,611A,612,617,619,611B
1960,27.54078914,27.35930751,,,27.53237155,28.67994992,28.6196177,28.23198649,27.52680222,,
1961,30.59220124,27.58449703,,,27.64881413,27.61724572,29.21004621,28.59239773,27.89685511,,
1962,28.41207248,27.77174608,,,27.76525671,28.41219218,25.56579615,28.83592515,27.54156378,,
1963,28.81226555,28.11301693,,,27.50012833,27.59626136,28.52785521,28.88528999,27.43744186,,
1964,29.62280866,27.61781256,,,27.98513859,26.72782078,28.15332808,28.80783438,27.33331993,,
1965,29.3150903,28.35189233,,,26.86985184,27.50362174,28.31624143,28.90490881,28.33107745,,
1966,29.00737193,27.83981215,,,27.1541486,27.89955707,28.07763973,28.58605196,28.12484655,,
1967,28.51022735,26.74604542,,,26.90799594,28.81645544,29.23857582,28.45267777,28.42581428,,
1968,27.1797384,27.88612716,26.43296211,,26.66184328,27.05314156,27.77150502,28.42045678,27.84372216,,
1969,27.60098547,27.65625676,25.93728258,,25.9068075,29.08692015,27.99218499,28.93269529,27.42353766,,
1970,28.82851071,25.15482104,26.91629768,,26.05132588,26.28122774,28.39011579,28.41286501,26.83741654,,
1971,26.66467659,27.00352264,28.3421775,,25.54469228,27.99950382,27.82929106,28.03502395,27.21911397,,
1972,28.09769933,27.38437217,27.54930407,,25.41727089,28.73935709,27.51362072,28.40471596,27.79350377,,
1973,26.6335736,27.37255452,27.18399782,,25.3300436,26.08285611,28.65965488,28.58631216,27.52233293,,
1974,26.6335736,26.72220338,27.34609079,,25.24179095,28.03742852,28.20907355,28.76790835,27.62852601,,
1975,25.16944786,27.1876093,27.47204414,,25.62943902,26.13856652,28.14695702,28.43953454,27.09521983,,
1976,27.7389268,26.46442541,28.05162624,,25.62943902,26.13670954,28.53816116,27.69714155,27.7195654,,
1977,28.32901973,26.01985261,27.98829775,,26.01708708,27.72316009,28.92333795,29.02901923,27.64972499,,
1978,27.63691544,25.57527981,27.08766472,,26.59737054,27.72241281,28.45483359,28.40684283,28.15597979,,
1979,26.94481114,27.307375,27.41512684,,27.46859343,28.28372638,28.52614239,28.88616067,28.17490404,,
1980,26.92400622,28.11039988,28.08354782,,28.10505154,27.04753535,27.58720046,28.94753119,28.05399894,28.90587603,
1981,27.36287147,28.92427722,27.34411043,27.75514595,27.64725923,26.98831174,28.42466239,27.72030775,28.35081357,28.07542162,
1982,28.09968658,27.87704119,27.10502276,26.89662474,27.52331141,27.27551385,,27.94322553,28.08146396,27.24496721,
1983,27.81528242,27.93691653,27.22708902,27.93923702,26.39079157,27.56271596,,27.87937335,28.23518365,28.38206134,
1984,27.53087826,26.21583213,27.01317087,26.4998495,24.61192723,26.75690266,,28.1367668,27.78405027,28.57061936,
1985,27.22668319,25.78652084,27.08583136,27.08757414,24.87792599,27.82621044,,27.62134933,27.05667097,28.28384373,
1986,26.62365693,27.21077943,27.91667175,27.86089593,25.35849411,28.45598524,,27.92235488,27.5991554,28.34572295,
1987,27.93929769,27.35143312,28.44006494,27.97479997,26.17475549,28.46280644,,28.12076995,28.20466883,28.77242225,
1988,27.77876896,27.4920868,27.55656284,28.088704,26.2795112,27.73366405,,27.99607358,28.929975,26.08078165,
1989,27.06104179,26.28312422,27.86623855,27.66516207,26.14463378,28.11813971,,28.06599432,28.16609048,27.10929127,
1990,29.018222,26.41128918,27.97428453,27.42590508,26.1508146,28.21192353,,26.96701421,27.8569303,26.52701551,
1991,28.44792628,25.95151,27.3329188,27.57170911,26.06589878,27.43663425,,28.11236616,28.20632868,26.11853547,
1992,27.87763056,27.19659174,27.92415374,26.64670976,25.72698061,28.57053965,,27.87735125,28.28064397,25.78112476,
1993,28.07592572,25.87114634,27.78096763,26.69743949,26.12254735,28.94670468,,28.62702142,28.35829967,26.45138361,
1994,28.27422087,27.01947909,27.0451583,28.05454503,26.89374698,27.2874659,,28.68416129,28.73262279,28.41049664,
1995,28.03845046,28.13191624,25.68497512,27.36735287,26.45123052,28.11769548,,27.55411694,28.78328281,26.60628277,
1996,27.61747523,28.17965709,26.92531865,28.1081093,26.62632293,27.10900067,,27.51858568,28.81590952,26.48194119,
1997,27.10037492,28.33344784,28.11190846,28.32778264,27.68353603,28.45309467,,28.2209015,28.47077671,28.11208721,
1998,27.30496788,28.00092856,27.60473818,28.54745598,26.69755751,28.06434106,,28.45495015,28.06688411,28.06644251,
1999,28.50764683,28.1539842,27.27636812,28.41249148,26.76990444,27.88444821,,28.26677181,28.13645772,27.23060846,
2000,29.45427563,27.39800291,28.10341081,28.27752697,27.37194424,27.62088367,,27.91656803,28.40275583,27.00024493,
2001,27.27637155,28.09857186,28.68569319,28.57274622,27.21132712,27.09383987,,28.55729436,28.41133506,27.48123779,27.52288088
2002,27.81724935,27.90698364,29.26797556,28.1893913,27.58121526,28.55650962,,27.88706588,28.82554819,27.74221685,25.6745145
2003,28.1526516,28.4277568,29.02893914,27.73813668,27.68097401,28.04736491,,28.64365184,28.3567256,27.72353352,27.21079
2004,28.90989014,28.91382243,28.73418517,27.10792874,27.11911845,28.47494998,,28.5528855,28.11191947,27.14228744,26.03974883
2005,27.7462627,27.35543737,28.92859676,26.74641386,27.81428877,28.25870589,,27.8924406,28.18333201,27.4514855,28.07049553
2006,27.77607841,28.30104815,29.07351185,27.34992628,28.25398142,26.41128354,,27.69995052,28.49503084,27.42238124,27.36920123
2007,28.31994836,27.58999699,28.76406178,28.35113181,27.43663346,27.1868721,,29.38327122,28.19050273,27.15028494,28.42899367
2008,27.98736134,27.41437822,28.59610716,27.74577963,27.43663346,27.73305414,,27.39674891,28.24543452,27.20449343,28.88799915
2009,27.32170579,27.71890083,27.30766919,28.93841354,27.43663346,26.57464412,,27.8321389,28.44000269,26.94580236,26.8818252
2010,27.40239413,26.36790892,27.93147371,28.24202214,26.6192855,26.80174898,,27.86212978,28.74748476,26.86835447,28.37608707
2011,27.17385887,27.56202777,27.22323607,27.48137503,27.35306448,27.02864939,,27.74576749,28.55962017,26.69498204,28.26515292
2012,26.297892,28.32847699,27.61098593,27.82322957,27.59021396,27.95822643,,27.75550067,28.37175558,26.27565854,28.86398889
2013,27.83567564,27.57344011,27.27794701,27.92909076,27.52879002,26.9129672,,29.51903692,28.940645,27.59790882,28.94346626
2014,27.54539331,28.58237545,27.96315589,27.66654681,28.19793684,28.22781178,,28.30498987,28.40585293,26.98052255,29.2516699
2015,27.23021592,29.40149441,29.59245508,28.18436178,28.13373635,28.21722393,,28.67018648,28.51764533,27.28450095,28.95140332
2016,27.57651679,27.95301501,27.46657339,28.22795656,28.35862031,28.12673142,,28.77497418,28.68910451,27.1581067,29.40102903
2017,28.25855772,28.21111794,28.32309399,28.66542938,27.84728445,28.82768037,,,28.72647383,27.61781571,28.6935037
2018,28.38563475,28.37215528,29.40860925,28.27661864,26.99747606,26.84745682,,,28.43421435,29.09678119,29.22893344
