"","run","receptor","hour_along","traj_dt","lat","lon","height","traj_dt_i","lat_i","lon_i","height_i","pressure","theta","air_temp","rainfall","mixdepth","rh","sp_humidity","h2o_mixrate","terr_msl","sun_flux"
"1",1,1,0,1980-09-01 00:00:00,-41.84,145.531,10,1980-09-01 00:00:00,-41.83989,145.531014,10,981.6,284.6,283.1,0,1026.4,89.7,6.9,7,NA,NA
"2",1,1,-1,1980-08-31 23:00:00,-41.528,145.03,9.4,1980-09-01 00:00:00,-41.83989,145.531014,10,983.5,284.5,283.1,0,1017.8,90.6,7,7.1,NA,NA
"3",1,1,-2,1980-08-31 22:00:00,-41.231,144.488,8.8,1980-09-01 00:00:00,-41.83989,145.531014,10,987.2,284.3,283.3,0,1017.7,90.7,7,7.1,NA,NA
"4",1,1,-3,1980-08-31 21:00:00,-40.958,143.921,7.7,1980-09-01 00:00:00,-41.83989,145.531014,10,990.8,284.2,283.5,0,1035.2,90.2,7.1,7.2,NA,NA
"5",1,1,-4,1980-08-31 20:00:00,-40.712,143.352,5.7,1980-09-01 00:00:00,-41.83989,145.531014,10,994.3,284.3,283.8,0,1077.2,89.3,7.1,7.2,NA,NA
"6",1,1,-5,1980-08-31 19:00:00,-40.496,142.799,2.2,1980-09-01 00:00:00,-41.83989,145.531014,10,997.5,284.4,284.2,0,1147.1,87.8,7.1,7.2,NA,NA
"7",1,1,-6,1980-08-31 18:00:00,-40.312,142.269,0,1980-09-01 00:00:00,-41.83989,145.531014,10,999.9,284.5,284.5,0,1219.7,86.1,7.2,7.2,NA,NA
"8",1,1,-7,1980-08-31 17:00:00,-40.143,141.728,0,1980-09-01 00:00:00,-41.83989,145.531014,10,1001.2,284.6,284.7,0.3,1269.1,85.2,7.2,7.3,NA,NA
"9",1,1,-8,1980-08-31 16:00:00,-39.975,141.139,0,1980-09-01 00:00:00,-41.83989,145.531014,10,1002.6,284.6,284.8,0.3,1293.4,84.8,7.2,7.3,NA,NA
"10",1,1,-9,1980-08-31 15:00:00,-39.812,140.515,0,1980-09-01 00:00:00,-41.83989,145.531014,10,1003.6,284.5,284.8,0.3,1257.3,84.9,7.2,7.2,NA,NA
