  Yr, Mn,Date,C13,seasonally adjusted,fit,seasonally adjusted fit,C13  filled,seasonally adjusted filled
1985,1,1985.0411,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99
1985,2,1985.126,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99
1985,3,1985.2027,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99
1985,4,1985.2877,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99
1985,5,1985.3699,-7.63,-7.63,-7.62,-7.62,-7.63,-7.63
1985,6,1985.4548,-99.99,-99.99,-7.62,-7.62,-7.62,-7.62
1985,7,1985.537,-7.64,-7.63,-7.62,-7.62,-7.64,-7.63
1985,8,1985.6219,-99.99,-99.99,-7.63,-7.62,-7.63,-7.62
1985,9,1985.7068,-99.99,-99.99,-7.63,-7.62,-7.63,-7.62
1985,10,1985.789,-7.67,-7.67,-7.63,-7.62,-7.67,-7.67
1985,11,1985.874,-99.99,-99.99,-7.62,-7.62,-7.62,-7.62
1985,12,1985.9562,-7.61,-7.61,-7.62,-7.62,-7.61,-7.61
1986,1,1986.0411,-7.57,-7.58,-7.62,-7.62,-7.57,-7.58
1986,2,1986.126,-99.99,-99.99,-7.62,-7.62,-7.62,-7.62
1986,3,1986.2027,-7.58,-7.59,-7.62,-7.63,-7.58,-7.59
1986,4,1986.2877,-99.99,-99.99,-7.62,-7.63,-7.62,-7.63
1986,5,1986.3699,-7.65,-7.65,-7.63,-7.63,-7.65,-7.65
1986,6,1986.4548,-99.99,-99.99,-7.64,-7.63,-7.64,-7.63
1986,7,1986.537,-99.99,-99.99,-7.64,-7.64,-7.64,-7.64
1986,8,1986.6219,-7.63,-7.62,-7.65,-7.64,-7.63,-7.62
1986,9,1986.7068,-7.65,-7.64,-7.65,-7.64,-7.65,-7.64
1986,10,1986.789,-99.99,-99.99,-7.65,-7.65,-7.65,-7.65
1986,11,1986.874,-7.57,-7.57,-7.65,-7.65,-7.57,-7.57
