,nz,margate
1/1/1977,,
2/1/1977,,
3/1/1977,,
4/1/1977,-7.03,
5/1/1977,-7.35,
6/1/1977,-9.13,
7/1/1977,-7.05,
8/1/1977,-8.38,
9/1/1977,-7.37,
10/1/1977,-7.48,
11/1/1977,-5.16,
12/1/1977,-5.11,
1/1/1978,-6.2,
2/1/1978,-4.13,
3/1/1978,-7.56,
4/1/1978,-4.39,
5/1/1978,-8.18,
6/1/1978,-6.14,
7/1/1978,-10.23,
8/1/1978,-8.09,
9/1/1978,-8.11,
10/1/1978,-5.01,
11/1/1978,-7.75,
12/1/1978,-5.98,
1/1/1979,-4.59,
2/1/1979,-6.13,
3/1/1979,-5.15,
4/1/1979,-6.73,
5/1/1979,-10.24,
6/1/1979,-5.88,
7/1/1979,-6.88,
8/1/1979,-5.99,
9/1/1979,-6.99,
10/1/1979,,
11/1/1979,-9.53,
12/1/1979,,
1/1/1980,-7.11,
2/1/1980,-7.98,
3/1/1980,-7.88,
4/1/1980,-7.87,
5/1/1980,-7.17,
6/1/1980,-6.55,
7/1/1980,-7.39,
8/1/1980,-8.79,
9/1/1980,-6.78,
10/1/1980,-7.28,
11/1/1980,-5.94,
12/1/1980,-3.6,
1/1/1981,,
2/1/1981,-4.64,
3/1/1981,-8,
4/1/1981,-7.81,
5/1/1981,-7,
6/1/1981,-11.55,
7/1/1981,-7.83,
8/1/1981,-6.32,
9/1/1981,-6.59,
10/1/1981,-4.85,
11/1/1981,-4.25,
12/1/1981,,
1/1/1982,-7.1,
2/1/1982,-7.1,
3/1/1982,-8.12,
4/1/1982,-5.46,
5/1/1982,-9.46,
6/1/1982,-8.24,
7/1/1982,-6.77,
8/1/1982,-7.53,
9/1/1982,-5.76,
10/1/1982,-5.83,
11/1/1982,-5.7,
12/1/1982,-4.98,
1/1/1983,-9.24,
2/1/1983,-6.12,
3/1/1983,-7.56,
4/1/1983,-7.1,
5/1/1983,-7.86,
6/1/1983,-7.28,
7/1/1983,-9.93,
