year,prysm
1957,26.389318
1958,27.298043
1959,27.26841
1960,27.924922
1961,27.012145
1962,27.983512
1963,26.321529
1964,26.803488
1965,27.983501
1966,28.706883
1967,27.139715
1968,27.151324
1969,27.480002
1970,27.86285
1971,27.448775
1972,27.095862
1973,27.713221
1974,26.483541
1975,27.433491
1976,27.369935
1977,27.563057
1978,27.281026
1979,27.060413
1980,27.307085
1981,27.687297
1982,27.759508
1983,27.477333
1984,27.533787
1985,27.378567
1986,27.065694
1987,27.607618
1988,27.641238
1989,27.21596
1990,27.252231
1991,27.436861
1992,27.422149
1993,26.967733
1994,27.292574
1995,27.104666
1996,26.97414
1997,27.177106
1998,26.577724
1999,27.177947
2000,27.381512
2001,26.394156
2002,26.575308
2003,26.895206
2004,26.636468
2005,26.3205
2006,27.364812
2007,27.226096
2008,26.070464
2009,26.964988
2010,26.481354
2011,26.252154
2012,26.359685
