date,d18o,year,month,seasYear
1/1/1958,28.43001507,1958,1,1957
2/1/1958,28.50261783,1958,2,1957
3/1/1958,27.15606361,1958,3,1957
4/1/1958,28.90786282,1958,4,1957
5/1/1958,21.40505258,1958,5,1957
6/1/1958,26.87771218,1958,6,1957
7/1/1958,26.1599518,1958,7,1957
8/1/1958,23.67526773,1958,8,1957
9/1/1958,28.25578171,1958,9,1958
10/1/1958,25.81944322,1958,10,1958
11/1/1958,27.22016719,1958,11,1958
12/1/1958,27.79562152,1958,12,1958
1/1/1959,30.03200539,1959,1,1958
2/1/1959,26.56178627,1959,2,1958
3/1/1959,29.15785829,1959,3,1958
4/1/1959,26.76874668,1959,4,1958
5/1/1959,27.74428413,1959,5,1958
6/1/1959,26.93566432,1959,6,1958
7/1/1959,26.10495686,1959,7,1958
8/1/1959,25.18019499,1959,8,1958
9/1/1959,27.98515355,1959,9,1959
10/1/1959,28.47580814,1959,10,1959
11/1/1959,28.91182893,1959,11,1959
12/1/1959,27.07671408,1959,12,1959
1/1/1960,28.48989979,1960,1,1959
2/1/1960,26.91883654,1960,2,1959
3/1/1960,28.68972783,1960,3,1959
4/1/1960,25.57420603,1960,4,1959
5/1/1960,23.37065593,1960,5,1959
6/1/1960,26.92690174,1960,6,1959
7/1/1960,25.81466536,1960,7,1959
8/1/1960,28.98652134,1960,8,1959
9/1/1960,28.5151726,1960,9,1960
10/1/1960,27.41574695,1960,10,1960
11/1/1960,26.19043468,1960,11,1960
12/1/1960,30.34100243,1960,12,1960
1/1/1961,30.07987903,1961,1,1960
2/1/1961,28.67703637,1961,2,1960
3/1/1961,28.8283954,1961,3,1960
4/1/1961,27.23346809,1961,4,1960
5/1/1961,26.19209225,1961,5,1960
6/1/1961,25.53929208,1961,6,1960
7/1/1961,27.08803608,1961,7,1960
8/1/1961,28.99850781,1961,8,1960
9/1/1961,28.25725617,1961,9,1961
10/1/1961,27.38748924,1961,10,1961
11/1/1961,28.41037112,1961,11,1961
12/1/1961,27.69134261,1961,12,1961
1/1/1962,29.49398905,1962,1,1961
2/1/1962,27.18926775,1962,2,1961
3/1/1962,26.38830122,1962,3,1961
4/1/1962,29.23313831,1962,4,1961
5/1/1962,26.16636293,1962,5,1961
6/1/1962,22.29134017,1962,6,1961
7/1/1962,26.08512893,1962,7,1961
8/1/1962,25.55175062,1962,8,1961
9/1/1962,26.87075837,1962,9,1962
10/1/1962,26.71126019,1962,10,1962
11/1/1962,26.95153515,1962,11,1962
12/1/1962,29.37322531,1962,12,1962
1/1/1963,29.23143562,1963,1,1962
2/1/1963,28.32609807,1963,2,1962
3/1/1963,27.53804454,1963,3,1962
4/1/1963,28.11791396,1963,4,1962
5/1/1963,28.69429221,1963,5,1962
6/1/1963,28.57880325,1963,6,1962
7/1/1963,27.6008595,1963,7,1962
8/1/1963,27.80791579,1963,8,1962
9/1/1963,25.44775107,1963,9,1963
10/1/1963,29.09529007,1963,10,1963
11/1/1963,27.0120267,1963,11,1963
12/1/1963,28.87591508,1963,12,1963
1/1/1964,24.87646598,1964,1,1963
2/1/1964,26.64406379,1964,2,1963
3/1/1964,27.4137061,1964,3,1963
4/1/1964,28.32181107,1964,4,1963
5/1/1964,25.00315127,1964,5,1963
6/1/1964,27.91728394,1964,6,1963
7/1/1964,24.17763912,1964,7,1963
8/1/1964,21.07324571,1964,8,1963
9/1/1964,25.61354234,1964,9,1964
10/1/1964,27.55353008,1964,10,1964
11/1/1964,27.38629189,1964,11,1964
12/1/1964,23.84489473,1964,12,1964
1/1/1965,27.82537276,1965,1,1964
2/1/1965,29.63834461,1965,2,1964
