sample_ID,o18corr  ,c13corr  ,Tree_ID,canopy_cover,soil_depth
20210310__Grzywacz_Tray1a_603_2018,28.38563475,-23.48045409,603,83.5,277.5
20210310__Grzywacz_Tray1a_603_2017,28.25855772,-23.74713391,603,83.5,277.5
20210310__Grzywacz_Tray1a_603_2016,27.57651679,-24.05237656,603,83.5,277.5
20210310__Grzywacz_Tray1a_603_2015,27.23021592,-24.18315435,603,83.5,277.5
20210310__Grzywacz_Tray1a_603_2014,27.54539331,-24.12213831,603,83.5,277.5
20210310__Grzywacz_Tray1a_603_2013,27.83567564,-23.62558142,603,83.5,277.5
20210310__Grzywacz_Tray1a_603_2012,26.297892,-23.99904613,603,83.5,277.5
20210310__Grzywacz_Tray1a_603_2011,27.17385887,-23.69837159,603,83.5,277.5
20210310__Grzywacz_Tray1a_603_2010,27.40239413,-23.72572723,603,83.5,277.5
20210310__Grzywacz_Tray1a_603_2009,27.32170579,-23.69641115,603,83.5,277.5
20210310__Grzywacz_Tray1a_603_2008,27.98736134,-23.54637125,603,83.5,277.5
20210310__Grzywacz_Tray1a_603_2007,28.31994836,-23.47938632,603,83.5,277.5
20210310__Grzywacz_Tray1a_603_2006,27.77607841,-23.62562647,603,83.5,277.5
20210313__Grzywacz_Tray1b_Tray2a_603_2005,27.7462627,-24.06590309,603,83.5,277.5
20210313__Grzywacz_Tray1b_Tray2a_603_2004,28.90989014,-23.876749,603,83.5,277.5
20210313__Grzywacz_Tray1b_Tray2a_603_2003,28.1526516,-23.82850701,603,83.5,277.5
20210313__Grzywacz_Tray1b_Tray2a_603_2002,27.81724935,-23.7511397,603,83.5,277.5
20210313__Grzywacz_Tray1b_Tray2a_603_2001,27.27637155,-23.61129403,603,83.5,277.5
20210313__Grzywacz_Tray1b_Tray2a_603_2000,29.45427563,-22.91717925,603,83.5,277.5
20210313__Grzywacz_Tray1b_Tray2a_603_1999,28.50764683,-23.2100052,603,83.5,277.5
20210313__Grzywacz_Tray1b_Tray2a_603_1998,27.30496788,-23.51712,603,83.5,277.5
20210313__Grzywacz_Tray1b_Tray2a_603_1997,27.10037492,-23.50567927,603,83.5,277.5
20210313__Grzywacz_Tray1b_Tray2a_603_1996,27.61747523,-23.33660106,603,83.5,277.5
20210313__Grzywacz_Tray1b_Tray2a_603_1995,28.03845046,-23.15062374,603,83.5,277.5
20210313__Grzywacz_Tray1b_Tray2a_603_1994,28.27422087,-23.189962,603,83.5,277.5
20210313__Grzywacz_Tray1b_Tray2a_603_1992,27.87763056,-23.60450068,603,83.5,277.5
20210313__Grzywacz_Tray1b_Tray2a_603_1990,29.018222,-23.20411517,603,83.5,277.5
20210313__Grzywacz_Tray1b_Tray2a_603_1989,27.06104179,-22.96727276,603,83.5,277.5
20210313__Grzywacz_Tray1b_Tray2a_603_1988,27.77876896,-22.45810513,603,83.5,277.5
20210313__Grzywacz_Tray1b_Tray2a_603_1987,27.93929769,-22.26857954,603,83.5,277.5
20210313__Grzywacz_Tray1b_Tray2a_603_1986,26.62365693,-22.78335143,603,83.5,277.5
20210313__Grzywacz_Tray1b_Tray2a_603_1985,27.22668319,-22.4247241,603,83.5,277.5
20210313__Grzywacz_Tray1b_Tray2a_603_1984,27.53087826,-22.23712802,603,83.5,277.5
20210313__Grzywacz_Tray1b_Tray2a_603_1982,28.09968658,-22.43559381,603,83.5,277.5
20210313__Grzywacz_Tray1b_Tray2a_603_1981,27.36287147,-22.37637864,603,83.5,277.5
20210313__Grzywacz_Tray1b_Tray2a_603_1980,26.92400622,-21.97232827,603,83.5,277.5
20210313__Grzywacz_Tray1b_Tray2a_603_1979,26.94481114,-22.35051052,603,83.5,277.5
20210313__Grzywacz_Tray1b_Tray2a_603_1977,28.32901973,-22.62039905,603,83.5,277.5
20210313__Grzywacz_Tray1b_Tray2a_603_1976,27.7389268,-22.51917363,603,83.5,277.5
20210313__Grzywacz_Tray1b_Tray2a_603_1975,25.16944786,-23.24665213,603,83.5,277.5
20210313__Grzywacz_Tray1b_Tray2a_603_1972,28.09769933,-22.36206772,603,83.5,277.5
20210313__Grzywacz_Tray1b_Tray2a_603_1971,26.66467659,-22.9987297,603,83.5,277.5
20210313__Grzywacz_Tray1b_Tray2a_603_1970,28.82851071,-21.85315413,603,83.5,277.5
20210313__Grzywacz_Tray1b_Tray2a_603_1969,27.60098547,-22.21282718,603,83.5,277.5
20210313__Grzywacz_Tray1b_Tray2a_603_1968,27.1797384,-22.30251761,603,83.5,277.5
20210313__Grzywacz_Tray1b_Tray2a_603_1967,28.51022735,-22.27448945,603,83.5,277.5
20210313__Grzywacz_Tray1b_Tray2a_603_1966,29.00737193,-22.03126018,603,83.5,277.5
20210313__Grzywacz_Tray1b_Tray2a_603_1965,,,603,83.5,277.5
20210313__Grzywacz_Tray1b_Tray2a_603_1964,29.62280866,-22.21003992,603,83.5,277.5
20210313__Grzywacz_Tray1b_Tray2a_603_1962,28.41207248,-22.0790896,603,83.5,277.5
20210313__Grzywacz_Tray1b_Tray2a_603_1961,30.59220124,-21.68769205,603,83.5,277.5
20210313__Grzywacz_Tray1b_Tray2a_603_1960,27.54078914,-22.20995755,603,83.5,277.5
20210316__Grzywacz_Tray1b_Tray2a_603_1963,28.81226555,-22.13512164,603,83.5,277.5
20210329__Grzywacz_Tray4b_Tray5a_604_2018,28.37215528,-22.89719664,604,76,237.5
20210329__Grzywacz_Tray4b_Tray5a_604_2017,28.21111794,-22.94888393,604,76,237.5
20210329__Grzywacz_Tray4b_Tray5a_604_2016,27.95301501,-23.08192321,604,76,237.5
20210329__Grzywacz_Tray4b_Tray5a_604_2015,29.40149441,-23.40544201,604,76,237.5
20210329__Grzywacz_Tray4b_Tray5a_604_2014,28.58237545,-23.31674402,604,76,237.5
20210329__Grzywacz_Tray4b_Tray5a_604_2013,27.57344011,-23.23370327,604,76,237.5
20210329__Grzywacz_Tray4b_Tray5a_604_2012,28.32847699,-23.18229347,604,76,237.5
20210329__Grzywacz_Tray4b_Tray5a_604_2011,27.56202777,-23.17487587,604,76,237.5
20210329__Grzywacz_Tray4b_Tray5a_604_2010,26.36790892,-23.66373457,604,76,237.5
20210329__Grzywacz_Tray4b_Tray5a_604_2009,27.71890083,-23.26155198,604,76,237.5
20210329__Grzywacz_Tray4b_Tray5a_604_2008,27.41437822,-23.24552757,604,76,237.5
20210329__Grzywacz_Tray4b_Tray5a_604_2007,27.58999699,-23.4827627,604,76,237.5
20210329__Grzywacz_Tray4b_Tray5a_604_2006,28.30104815,-23.24942853,604,76,237.5
20210329__Grzywacz_Tray4b_Tray5a_604_2005,27.35543737,-23.48712152,604,76,237.5
20210329__Grzywacz_Tray4b_Tray5a_604_2004,28.91382243,-23.1029393,604,76,237.5
20210329__Grzywacz_Tray4b_Tray5a_604_2003,28.4277568,-23.31971673,604,76,237.5
20210329__Grzywacz_Tray4b_Tray5a_604_2002,27.90698364,-23.1978966,604,76,237.5
20210329__Grzywacz_Tray4b_Tray5a_604_2001,28.09857186,-22.98517772,604,76,237.5
20210329__Grzywacz_Tray4b_Tray5a_604_2000,27.39800291,-22.90266514,604,76,237.5
20210329__Grzywacz_Tray4b_Tray5a_604_1999,28.1539842,-22.67099715,604,76,237.5
20210329__Grzywacz_Tray4b_Tray5a_604_1998,28.00092856,-22.75322851,604,76,237.5
20210329__Grzywacz_Tray4b_Tray5a_604_1997,28.33344784,-22.75801728,604,76,237.5
20210329__Grzywacz_Tray4b_Tray5a_604_1996,28.17965709,-22.7156931,604,76,237.5
20210329__Grzywacz_Tray4b_Tray5a_604_1995,28.13191624,-22.37225822,604,76,237.5
20210329__Grzywacz_Tray4b_Tray5a_604_1994,27.01947909,-22.82588555,604,76,237.5
20210329__Grzywacz_Tray4b_Tray5a_604_1993,25.87114634,-23.15537069,604,76,237.5
20210329__Grzywacz_Tray4b_Tray5a_604_1992,27.19659174,-22.64950482,604,76,237.5
20210329__Grzywacz_Tray4b_Tray5a_604_1991,25.95151,-23.10882429,604,76,237.5
20210329__Grzywacz_Tray4b_Tray5a_604_1990,26.41128918,-22.86181568,604,76,237.5
20210329__Grzywacz_Tray4b_Tray5a_604_1989,26.28312422,-22.99645721,604,76,237.5
20210329__Grzywacz_Tray4b_Tray5a_604_1988,27.4920868,-22.06645961,604,76,237.5
