"test","year","month"
50.3935478210446,1960,1
58.4835855102538,1960,2
63.7765165710449,1960,3
71.1124014282227,1960,4
77.7990966796876,1960,5
70.8416012573243,1960,6
78.4885180664064,1960,7
68.3229653930663,1960,8
66.2777334594725,1960,9
61.7934191894527,1960,10
64.0161337280271,1960,11
48.4378065490718,1960,12
48.3243876647945,1961,1
53.5808580017087,1961,2
61.269033050537,1961,3
69.2365319824219,1961,4
73.5562585449221,1961,5
75.9197348022464,1961,6
72.154708862305,1961,7
68.0206466674806,1961,8
58.8553330993651,1961,9
64.8834832763671,1961,10
60.1337335205076,1961,11
58.8334205627438,1961,12
51.0910958862304,1962,1
55.3754286193847,1962,2
63.7121279907227,1962,3
65.823998413086,1962,4
74.1020620727542,1962,5
77.8950634765628,1962,6
73.0981951904301,1962,7
69.4898052978519,1962,8
61.4749325561525,1962,9
62.5838702392579,1962,10
59.1863989257812,1962,11
53.6829692077636,1962,12
55.7983213806152,1963,1
59.3628575134277,1963,2
60.3567753601076,1963,3
67.323997192383,1963,4
64.3858058166506,1963,5
67.2907983398442,1963,6
72.3020620727543,1963,7
66.37432220459,1963,8
63.1629330444336,1963,9
57.7437423706054,1963,10
57.8170654296874,1963,11
52.2580644226073,1963,12
60.4581929016114,1964,1
60.3171032714844,1964,2
60.1290312194824,1964,3
68.4058691406251,1964,4
74.3948376464846,1964,5
72.974531860352,1964,6
78.6743228149419,1964,7
77.5581948852543,1964,8
71.6825360107423,1964,9
65.3425820922852,1964,10
58.7883993530273,1964,11
64.5381929016114,1964,12
55.3009028625489,1965,1
51.7624278259277,1965,2
61.4219345092774,1965,3
66.1952001953128,1965,4
73.8727743530276,1965,5
76.6966687011723,1965,6
74.904774780274,1965,7
70.0316146850589,1965,8
70.7052014160158,1965,9
56.2019342041015,1965,10
58.02279876709,1965,11
56.6181938171387,1965,12
50.3278710937499,1966,1
57.1231423950196,1966,2
57.3197413635255,1966,3
73.574135437012,1966,4
75.7514840698245,1966,5
72.839068603516,1966,6
75.2299362182623,1966,7
69.2939376831059,1966,8
64.4126655578615,1966,9
56.4007736206055,1966,10
57.6009339904786,1966,11
57.8525151062012,1966,12
55.906580657959,1967,1
49.4909991455078,1967,2
59.4049037170412,1967,3
66.1208015441896,1967,4
65.9553564453129,1967,5
72.7836032104497,1967,6
71.0557394409185,1967,7
69.5101942443854,1967,8
68.9741348266606,1967,9
61.3211619567872,1967,10
59.821332550049,1967,11
59.0584516906739,1967,12
50.4420637512206,1968,1
59.2710354614259,1968,2
62.1349688720704,1968,3
70.2005325317385,1968,4
79.5105816650395,1968,5
79.6138653564458,1968,6
79.8654183959967,1968,7
76.6949691772466,1968,8
75.0202679443364,1968,9
69.9674841308597,1968,10
71.3169338989261,1968,11
56.5261932373047,1968,12
54.6473553466797,1969,1
61.940144042969,1969,2
63.7695501708986,1969,3
71.1760012817386,1969,4
71.5065792846684,1969,5
69.7048016357428,1969,6
81.2823226928716,1969,7
71.7420651245121,1969,8
71.6525357055668,1969,9
56.4455490112306,1969,10
61.2829316711426,1969,11
61.7260653686526,1969,12
56.5901937866212,1970,1
54.9180007934572,1970,2
55.8445164489748,1970,3
71.7538684082035,1970,4
73.302838134766,1970,5
69.9989328002937,1970,6
82.4687750244148,1970,7
70.1290338134771,1970,8
67.9362666320806,1970,9
68.5018045043948,1970,10
54.8734677124024,1970,11
58.4396134948732,1970,12
54.0003878784181,1971,1
54.7215701293947,1971,2
56.0589683532716,1971,3
66.3782682800296,1971,4
69.3870971679691,1971,5
75.7553344726567,1971,6
73.8720019531256,1971,7
73.1190982055669,1971,8
70.2424011230471,1971,9
67.7446466064455,1971,10
59.4456004333496,1971,11
60.5287757873536,1971,12
53.5847744750977,1972,1
51.675724029541,1972,2
56.0526438903809,1972,3
64.8938679504396,1972,4
66.9167768859866,1972,5
74.3740017700199,1972,6
76.5873544311529,1972,7
67.8775485229495,1972,8
66.863199157715,1972,9
58.0996121215821,1972,10
55.1665341186523,1972,11
57.6495477294923,1972,12
57.4923876953126,1973,1
56.584998779297,1973,2
63.9489025878908,1973,3
68.6038638305667,1973,4
80.1687771606449,1973,5
71.2070666503911,1973,6
70.8265780639654,1973,7
67.9914833068851,1973,8
68.0512005615236,1973,9
59.5752249145509,1973,10
58.4044003295899,1973,11
58.4736782836915,1973,12
50.531612854004,1974,1
55.2395716857912,1974,2
60.3215492248537,1974,3
66.3490666198733,1974,4
64.8103245544438,1974,5
73.7042645263678,1974,6
72.0077438354498,1974,7
71.4656784057622,1974,8
75.9284020996098,1974,9
63.4331611633303,1974,10
58.5073329162599,1974,11
64.7521276855471,1974,12
58.9296783447267,1975,1
50.8171423339844,1975,2
66.1805140686038,1975,3
67.547731933594,1975,4
77.767616271973,1975,5
73.8120001220709,1975,6
76.2464517211919,1975,7
76.9998699951175,1975,8
67.497067871094,1975,9
62.5763864135744,1975,10
63.8921311950685,1975,11
52.7290309143066,1975,12
54.7018074035646,1976,1
56.9678611755372,1976,2
59.3974201965335,1976,3
69.6374664306644,1976,4
76.7974206542974,1976,5
75.8070648193366,1976,6
77.0838729858405,1976,7
69.8296786499028,1976,8
63.4809315490727,1976,9
63.7134213256839,1976,10
61.8453330993654,1976,11
64.2438710021974,1976,12
56.9445156860353,1977,1
51.3824282836914,1977,2
64.0969015502932,1977,3
75.968668212891,1977,4
72.9260626220707,1977,5
74.937598266602,1977,6
74.0205169677739,1977,7
69.6743240356449,1977,8
62.8893350219728,1977,9
60.9651622009277,1977,10
60.4449336242676,1977,11
57.0299343872069,1977,12
53.6939355468749,1978,1
53.5818568420409,1978,2
55.4286459350585,1978,3
67.8922674560548,1978,4
68.6929064941409,1978,5
60.5104006958013,1978,6
76.9187078857427,1978,7
73.2357437133793,1978,8
65.185333709717,1978,9
63.463613433838,1978,10
57.9205339050293,1978,11
61.0100634765626,1978,12
51.4372908020019,1979,1
57.1709996032715,1979,2
59.663355407715,1979,3
66.9216015625002,1979,4
69.635484619141,1979,5
73.2717355346684,1979,6
76.5363879394537,1979,7
73.3227084350589,1979,8
74.3063986206057,1979,9
61.2101924133302,1979,10
57.3157337951661,1979,11
58.6819351196289,1979,12
56.1126440429689,1980,1
54.6962770080567,1980,2
62.0659355163575,1980,3
64.1881349182131,1980,4
70.5532888793949,1980,5
78.028802185059,1980,6
75.2051632690434,1980,7
74.9890313720707,1980,8
75.4899987792971,1980,9
61.8858073425294,1980,10
52.2152003479005,1980,11
47.8434843444825,1980,12
47.8132896423341,1981,1
51.1572857666016,1981,2
65.6978051757815,1981,3
70.3193356323244,1981,4
69.8532919311528,1981,5
72.4041326904302,1981,6
73.5956124877935,1981,7
71.563743591309,1981,8
67.6493328857423,1981,9
59.1455490112306,1981,10
55.6540003967287,1981,11
51.5326458740235,1981,12
51.7481294250488,1982,1
51.0378567504883,1982,2
54.8015490722658,1982,3
69.900268249512,1982,4
78.6005148315432,1982,5
71.7641354370122,1982,6
70.8064535522466,1982,7
70.1308370971681,1982,8
64.375999145508,1982,9
63.7864501953127,1982,10
50.7728007507323,1982,11
50.8821934509278,1982,12
56.916902770996,1983,1
46.8547152709961,1983,2
62.1876132202149,1983,3
65.2071995544435,1983,4
69.3317410278324,1983,5
72.4909335327152,1983,6
71.6770315551763,1983,7
73.3865814208988,1983,8
67.2746688842775,1983,9
60.56916015625,1983,10
60.7365321350099,1983,11
52.3313543701172,1983,12
55.8561279296876,1984,1
55.0746202087402,1984,2
60.355612792969,1984,3
67.2691995239259,1984,4
70.6948379516605,1984,5
76.5324014282232,1984,6
68.0690344238286,1984,7
75.2701950073246,1984,8
71.0472000122073,1984,9
62.138321990967,1984,10
54.599333343506,1984,11
57.7504519653322,1984,12
56.2618072509766,1985,1
53.7107141113282,1985,2
57.2775479125978,1985,3
60.2002662658695,1985,4
69.9273524475103,1985,5
74.4410641479498,1985,6
73.1726470947271,1985,7
68.8467091369635,1985,8
63.4249339294436,1985,9
56.6331605529788,1985,10
55.9266656494143,1985,11
60.2609027099612,1985,12
55.0317425537111,1986,1
54.7042839050295,1986,2
56.7789685058596,1986,3
69.7075991821292,1986,4
69.3486462402347,1986,5
74.2489328002934,1986,6
76.8760025024419,1986,7
65.9167733764653,1986,8
68.9841342163088,1986,9
64.3156144714358,1986,10
54.8374655151369,1986,11
60.5806451416018,1986,12
61.9988397216798,1987,1
53.7779989624024,1987,2
61.3372914123537,1987,3
63.9251994323734,1987,4
69.5037408447271,1987,5
73.1470666503909,1987,6
68.355871429444,1987,7
69.9869683837894,1987,8
66.3768016052248,1987,9
60.1917411804201,1987,10
58.9713327026368,1987,11
51.9794830322266,1987,12
51.3812910461426,1988,1
57.3180686950686,1988,2
51.7415501403811,1988,3
59.2314665222172,1988,4
69.0090307617192,1988,5
72.0340005493169,1988,6
69.991353759766,1988,7
70.6954812622075,1988,8
63.4613363647463,1988,9
67.4437411499026,1988,10
53.0277337646487,1988,11
53.1811613464356,1988,12
53.9498052978518,1989,1
52.1280009460451,1989,2
57.2997404479983,1989,3
60.0610659790042,1989,4
68.0144500732425,1989,5
66.3930648803715,1989,6
65.2477412414556,1989,7
66.6522573852544,1989,8
60.9467984008792,1989,9
62.9323870849611,1989,10
50.1723997497559,1989,11
49.9563865661622,1989,12
51.4131614685059,1990,1
54.2955725097657,1990,2
53.9896771240235,1990,3
63.5544001770022,1990,4
72.5927746582033,1990,5
76.2755978393558,1990,6
74.8116131591802,1990,7
67.8890341186528,1990,8
63.4401345825199,1990,9
57.5402578735353,1990,10
56.0005322265626,1990,11
57.0996118164063,1990,12
