"test","year","month"
8.91109668731693,1959,1
6.04199998855591,1959,2
5.17199993133544,1959,3
3.75026672363279,1959,4
2.54038715362545,1959,5
1.84986666679379,1959,6
1.73354840278622,1959,7
2.58645162582396,1959,8
3.19559990882871,1959,9
4.12799987792969,1959,10
5.67199991226199,1959,11
4.87754850387572,1959,12
8.41161289215088,1960,1
5.34234487533567,1960,2
4.47406463623043,1960,3
2.62826664924618,1960,4
1.58967741012571,1960,5
1.97693335533138,1960,6
1.32800000190732,1960,7
2.16490316390989,1960,8
2.76173336982726,1960,9
3.82735476493837,1960,10
3.36439993858337,1960,11
8.30322618484503,1960,12
9.75225788116463,1961,1
7.37314296722414,1961,2
4.94645175933835,1961,3
3.20013332366939,1961,4
2.01870966911311,1961,5
1.81720000267024,1961,6
1.95690319061274,1961,7
2.46103223800655,1961,8
3.92026670455931,1961,9
3.78193550109862,1961,10
4.52559986114501,1961,11
5.57677412033083,1961,12
7.7350967407226,1962,1
6.17700006484979,1962,2
4.44683856964105,1962,3
3.35680004119868,1962,4
2.04154841423029,1962,5
1.68359999656671,1962,6
1.9176774311065,1962,7
2.11587093353265,1962,8
3.34120006561273,1962,9
3.29922574996942,1962,10
4.53719991683956,1962,11
6.38219345092768,1962,12
6.82709667205803,1963,1
4.94200002670282,1963,2
4.70516128540031,1963,3
3.07613326072687,1963,4
2.94632254600519,1963,5
2.45813337326042,1963,6
1.85406449317926,1963,7
2.53496781349177,1963,8
3.34880000114438,1963,9
5.25329017639157,1963,10
4.88880001068111,1963,11
6.47612915039058,1963,12
5.05548393249506,1964,1
5.2433103179931,1964,2
4.54451618194576,1964,3
3.20186665534968,1964,4
2.00309678077693,1964,5
1.89519995689386,1964,6
1.30374196052545,1964,7
1.60309674262995,1964,8
2.1637332820892,1964,9
3.12361292839046,1964,10
4.43119993209834,1964,11
3.67019357681269,1964,12
6.01264533996576,1965,1
7.26142860412593,1965,2
5.09096776962275,1965,3
2.98920000076287,1965,4
2.09238711357113,1965,5
1.6256000232696,1965,6
1.56219355583185,1965,7
2.23974189758295,1965,8
2.33040001869198,1965,9
4.6823225021362,1965,10
4.49759992599481,1965,11
6.36580636978144,1965,12
7.65870964050289,1966,1
5.85314291000358,1966,2
6.63458070754997,1966,3
2.46600002288813,1966,4
1.92090322494502,1966,5
1.94119997978206,1966,6
1.61148384094231,1966,7
2.22258066177361,1966,8
3.16133337020868,1966,9
4.59367742538448,1966,10
